,ChName,Dynasty,DynastyBirth,DynastyDeath,EngName,Entry,EraBirth,EraDeath,EraYearBirth,EraYearDeath,Gender,IndexYear,JunWang,Notes,PersonId,SocialStatus,YearBirth,YearDeath,YearsLived,nid
20296,朱氏(朱天與女),元,未詳,未詳,Zhu Shi(Daughter of Zhu Tian Yu),,未詳,未詳,,,1,1332,【未詳】,,386523,,,,,386523
20297,宋熹,元,未詳,未詳,Song Xi,,未詳,未詳,,,0,,【未詳】,,102644,,,,,102644
20298,王沂,明,未詳,未詳,Wang Yi,正常科舉,未詳,未詳,,,0,1376,【未詳】,,100679,鄉先生;拒絕出仕;徵至京師,1317,1383,67,100679
20299,唐佑,元,未詳,未詳,Tang You,,未詳,未詳,,,0,,【未詳】,,105181,,,,,105181
20300,周文清,元,未詳,未詳,Zhou Wenqing,,未詳,未詳,,,0,1287,【未詳】,,103956,,1228,1291,64,103956
20301,潘原明,元,未詳,未詳,Fan Yuanming,,未詳,未詳,,,0,,【未詳】,,111592,,,,,111592
20302,渾魯忽歹,元,未詳,未詳,Hunluhudai,,未詳,未詳,,,0,,【未詳】,,116257,,,,,116257
20303,陳真孫,元,未詳,未詳,Chen Zhensun,,未詳,未詳,,,0,,【未詳】,,108249,,,,,108249
20304,王家驢,元,未詳,未詳,Wangjialv,,未詳,未詳,,,0,,【未詳】,,115882,,,,,115882
20305,劉濟,元,未詳,未詳,Liu Ji,,未詳,未詳,,,0,1275,【未詳】,,111068,,1216,1279,64,111068
20306,也先不花,元,未詳,未詳,Yexianbuhua,,未詳,未詳,,,0,,【未詳】,,114790,,,,,114790
20307,釋了義,元,未詳,未詳,Shi Leyi,,未詳,未詳,,,0,1322,【未詳】,,113055,,1263,1334,72,113055
20308,梁禎,元,未詳,未詳,Liang Zhen,,未詳,未詳,,,0,,【未詳】,,107446,,,,,107446
20309,元成宗,元,未詳,未詳,Pouyuandaizhudi,宮廷門,未詳,未詳,,,0,1307,【未詳】,,100383,,1266,1307,42,100383
20310,余必榮,元,未詳,未詳,Yu Birong,,未詳,未詳,,,0,,【未詳】,,102214,,,,,102214
20311,曾彥明,元,未詳,未詳,Zeng Yanming,,未詳,未詳,,,0,,【未詳】,,108619,,,,,108619
20312,也速,元,未詳,未詳,Yesu,,未詳,未詳,,,0,,【未詳】,,117915,,,,,117915
20313,合丹,元,未詳,未詳,Hedan,,未詳,未詳,,,0,1275,【未詳】,Index year algorithmically generated: Rule 8;,115928,,,,,115928
20314,趙邦基,元,未詳,未詳,Zhao Bangji,,未詳,未詳,,,0,,【未詳】,,426617,,,,,426617
20315,世傑班,元,未詳,未詳,Shijieban,,未詳,未詳,,,0,1378,【未詳】,,116607,,1319,,,116607
20316,劉德讓,元,未詳,未詳,Liu Derang,,未詳,未詳,,,0,,【未詳】,,111438,,,,,111438
20317,杜願益,元,未詳,未詳,Du Yuanyi,,未詳,未詳,,,0,1339,【未詳】,"Du(3) Yuanyi [28750] CHECK funerary inscription of father, Boyuan [28742].",28750,,0,0,0,28750
